"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-06-13,2016-06-07,"ZRH","LHR",208.4
"LX316",2016-06-13,2016-06-08,"ZRH","LHR",215.43
"LX316",2016-06-13,2016-06-09,"ZRH","LHR",237.4
"LX316",2016-06-13,2016-06-10,"ZRH","LHR",256.71
"LX316",2016-06-13,2016-06-11,"ZRH","LHR",256.71
"LX316",2016-06-13,2016-06-12,"ZRH","LHR",270.2
"LX316",2016-06-14,2016-05-24,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-25,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-26,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-27,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-28,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-29,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-30,"ZRH","LHR",152.63
"LX316",2016-06-14,2016-05-31,"ZRH","LHR",175.92
"LX316",2016-06-14,2016-06-01,"ZRH","LHR",175.52
"LX316",2016-06-14,2016-06-02,"ZRH","LHR",175.52
"LX316",2016-06-14,2016-06-03,"ZRH","LHR",175.52
"LX316",2016-06-14,2016-06-04,"ZRH","LHR",179.3
"LX316",2016-06-14,2016-06-05,"ZRH","LHR",179.3
"LX316",2016-06-14,2016-06-06,"ZRH","LHR",178.01
"LX316",2016-06-14,2016-06-07,"ZRH","LHR",179
"LX316",2016-06-14,2016-06-08,"ZRH","LHR",201.65
"LX316",2016-06-14,2016-06-09,"ZRH","LHR",208.4
"LX316",2016-06-14,2016-06-10,"ZRH","LHR",208.4
"LX316",2016-06-14,2016-06-11,"ZRH","LHR",237.4
"LX316",2016-06-14,2016-06-12,"ZRH","LHR",256.71
"LX316",2016-06-14,2016-06-13,"ZRH","LHR",256.71
"LX316",2016-06-15,2016-05-25,"ZRH","LHR",152.63
"LX316",2016-06-15,2016-05-26,"ZRH","LHR",152.63
"LX316",2016-06-15,2016-05-27,"ZRH","LHR",152.63
"LX316",2016-06-15,2016-05-28,"ZRH","LHR",152.63
"LX316",2016-06-15,2016-05-29,"ZRH","LHR",152.63
"LX316",2016-06-15,2016-05-30,"ZRH","LHR",152.63
"LX316",2016-06-15,2016-05-31,"ZRH","LHR",175.92
"LX316",2016-06-15,2016-06-01,"ZRH","LHR",175.52
"LX316",2016-06-15,2016-06-02,"ZRH","LHR",175.52
"LX316",2016-06-15,2016-06-03,"ZRH","LHR",175.52
"LX316",2016-06-15,2016-06-04,"ZRH","LHR",175.52
"LX316",2016-06-15,2016-06-05,"ZRH","LHR",175.52
